Anthropology,Like Humans Do,David Byrne
Anthropology,The Devil Put Dinosaurs Here,Alice In Chains
Anthropology,The Caves Of Altamira,Steely Dan
Anthropology,Diggin Up Bones,Randy Travis
Anthropology,Queen of the Savages,The Magnetic Fields
Anthropology,The Bad Touch,Bloodhound Gang
Anthropology,My Old Man,The Smothers Brothers
Anthropology,Hungry Heart,Bruce Springsteen
Anthropology,New Dark Ages,Bad Religion
Anthropology,Human,The Killers
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,Slow Down You Grave Robbing Bastard,The Meteors
Anthropology,People Are People,Depeche Mode
Anthropology,Raiders March,John Williams
Jive,Tired Of Your Jive,BB King
Jive,Hit That Jive,Gramatik
Jive,Born To Hand Jive,Sha Na Na
Jive,The Phat Jive,Patrick Lindsey
Jive,The Scenario,A Tribe Called Quest
Jive,Virginia Plain,Roxy Music
Jive,Java Jive,The Ink Spots
Jive,Juke Box Jive,Rubettes
Jive,Rhine Jive Click,Guided By Voices
Jive,Our Love Will Last,The Jivers
Jive,Jiving Sister Fanny,Rolling Stones
Jive,Do You Love Me,The Contours
Not on the Soundtrack,Abduction At Airport from Big Trouble in Little China,John Carpenter
Not on the Soundtrack,Where Is My Mind,Pixies
Not on the Soundtrack,The Coming Storm,John Williams
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Not on the Soundtrack,Nearer My God To Thee,Titanic
Not on the Soundtrack,Cabin In The Air,Nancy Wilson
Not on the Soundtrack,Dissolved Girl,Massive Attack
Not on the Soundtrack,The Nightclub Brawl from Indiana Jones and the Temple of Doom,John Williams
Not on the Soundtrack,Sweet Emotion,Aerosmith
Not on the Soundtrack,Maniac,Michael Sembello
Not on the Soundtrack,Heaven Is A Place On Earth,Belinda Carlisle
Not on the Soundtrack,I Am Waiting,Rolling Stones
Odd,Just One Fix,Ministry
Odd,Odd Look,Kavinsky
Even,Cut From The Cloth,The Evens
Even,Garbage,Even Though Our Love Is Doomed
Even,Even Numbers,They Might Be Giants
Odd,Bottom Of The Sea,Matt Nathanson
Even,Even In His Youth,Nirvana
Even,Marilyn Monroe,Pharrell Williams
Even,Not even jail,Interpol
Odd,Strange Phenomena,Kate Bush
Even,Even Less,Porcupine Tree
Odd,Lucky Number,Lene Lovich
Even,Even Dogs in the Wild,Associates
Even,Even Tho,Webb Pierce
Even,Even It Up,HEART
Odd,The Odd Couple,Earnest Tubb and Loretta Lynn
Even,Bizarre Love Triangle,Even As We Speak
Odd,Oddity,The Clean
Odd,Heterosexual Man,The Odds
Odd,The Odd Couple,Billy May and His Orchestra
Even,Over and Even,Joan Shelley
Even,Even Now,Barry Manilow
Odd,Odds Of Even,Marilyn Manson
Song Of My People,This Is Halloween,Danny Elfman
Song Of My People,Christmastime for the Jews,Darlene Love
Song Of My People,My Favorite Things,Maria
Song Of My People,The Way We Get By,Spoon
Song Of My People,I Will Light You On Fire,Golden Shoulders
Song Of My People,Here Comes Your Man,Pixies
Song Of My People,Rise Above,Black Flag
Song Of My People,Invincible,Pat Benatar
Song Of My People,TCR,Song of My People Sleaford Mods
Song Of My People,De La Rey,Bok Van Blerk
Song Of My People,Loser,Beck
Song Of My People,Uptown,Prince
Song Of My People,Latchkey Kids,Good Tiger
Song Of My People,A Pict Song,Billy Bragg
Song Of My People,Bangla Desh,George Harrison
Song Of My People,Kids in America,Kim Wilde
Song Of My People,Oh England My Lionheart,Kate Bush
Song Of My People,Only Wanna Be With You,Hootie And The Blowfish
Song Of My People,In The Garage,Weezer
Song Of My People,North American Scum,LCD Soundsystem
Song Of My People,Sweet Home Alabama,Lynyrd Skynyrd
Song Of My People,Detroit Rock City,KISS
Song Of My People,Down Under,Men At Work
Song Of My People,Hooked on a Feeling,Blue Swede
Song Of My People,King of Spain,Moxy Fruvous
Song Of My People,Tarzan Boy,Baltimora
Soft Drinks,Root Beer Rag,Billy Joel
Soft Drinks,Oh Oh I Love Her So,RAMONES
Soft Drinks,Sweet and Dandy,Toots and the Maytals
Soft Drinks,Tall Cool One,Robert Plant
Soft Drinks,Go For Soda,Kim Mitchell
Soft Drinks,Lemme Take You To The Beach,Frank Zappa
Soft Drinks,White Slavery,Type O Negative
Soft Drinks,Babybird,Atomic Soda
Soft Drinks,Praise The Lowered,Devin Townsend Project
Soft Drinks,Children of Marx and Coca Cola,The Lovefools
Soft Drinks,Having A Party,Sam Cooke
Soft Drinks,Here Comes Alice,The Jesus and Mary Chain
Soft Drinks,Brilliant Mistake,Elvis Costello
Soft Drinks,Old Mother Nature,Lucifer
Soft Drinks,Koka Kola,The Clash
Soft Drinks,Yoda,Weird Al
Soft Drinks,Things Go Better With Coke,Otis Redding
Soft Drinks,Coca Cola Cowboy,Mel Tillis
Soft Drinks,Institutionalized,Suicidal Tendencies
Soft Drinks,Programmable Soda,Tori Amos
Soft Drinks,Mellow Yellow,Donovan
Soft Drinks,I Want You,Savage Garden
Soft Drinks,State O Maine,Tim Sample
Soft Drinks,Lola,The Kinks
Leaving Home,Born to Run,Bruce Springsteen
Leaving Home,Rocket Man,William Shatner
Leaving Home,Love Is a Battlefield,Pat Benatar
Leaving Home,Hit the Road Jack,Ray Charles
Leaving Home,Saying Goodbye,The Muppets
Leaving Home,The Ballad Of Bilbo Baggins,Leonard Nimoy
Leaving Home,Muirshin Durkin,The Pogues
Leaving Home,Smalltown Boy,Bronski Beat
Leaving Home,Promised Land,Chuck Berry
Leaving Home,Leaving Home,Jebediah
Leaving Home,Miles Away,John Foxx
Leaving Home,Dreams Of Leaving,The Human League
Leaving Home,Leaving the Past,Immortal Technique
Leaving Home,Step Back,Cringer
Leaving Home,Wild World,Cat Stevens
Leaving Home,By The Time I Get To Phoenix,Glen Campbell
Leaving Home,Ramble On,Led Zeppelin
Leaving Home,Honky Cat,Elton John
Leaving Home,Goodbye Yellow Brick Road,Elton John
Leaving Home,Goodbye Stranger,Supertramp
Leaving Home,Jet Airliner,Steve Miller Band
Invisible,Memoirs of an Invisible Man Theme,Shirley Walker
Invisible,Deep Purple,When a Blind Man Cries
Invisible,Invisible,Michael Penn
Invisible,Monster Rap,Elvira
Invisible,See Through,Low
Invisible,To Be Invisible,Curtis Mayfield
Invisible,The Invisible Man,Queen
Invisible,Invisible,Figure Study
Invisible,Invisible Guy,Richard Bone
Invisible,Golden Dreams,Invisible Limits
Invisible,Invisible Bugs,Mean Jeans
Halloween Season,Dracula Cha Cha,The Tango Saloon
Halloween Season,The Spider,Figure and TenGraphs
Halloween Season,Halloween,Mastodon
Halloween Season,Kinda Lingers,Here Come the Mummies
Halloween Season,Goo Goo Muck,Ronnie Cook
Halloween Season,Sort Of Haunted House,Too Much Joy
Halloween Season,Baby Frankie Stein,Hot Blood
Halloween Season,Halloween,Sonic Youth
Halloween Season,Night of the Vampire,Roky Erickson
Halloween Season,Frankenstein,New York Dolls
Halloween Season,Out In The Street,The Who
Halloween Season,Toccata and Fugue in D Minor,Johann Sebastian Bach
Halloween Season,This Masquerade,Leon Russell
Halloween Season,Halloween,Dead Kennedys
Halloween Season,Never Come Back,Kas Product
Halloween Season,Martian Monster,Phish
Halloween Season,Fell in a Well,Songwriter X and the Skeleton Band
Halloween Season,Halloween All Year,The Orwells
Halloween Season,Halloween,Siouxsie The Banshees
Halloween Season,Werewolf Bar Mitzvah,Tracy Jordan
Halloween Season,This Is Halloween demo,Danny Elfman
Halloween Season,Get Down Goblin,Jan Terri
Halloween Season,I Want Candy,Bow Wow Wow
Halloween Season,Thriller,Michael Jackson
Stuttering,Atwood,Like you
Stuttering,The Caterpillar,The Cure
Stuttering,Kiss Off,Violent Femmes
Stuttering,Rave On,Buddy Holly
Stuttering,Scatman,Scatman John
Stuttering,Psycho Killer,Talking Heads
Stuttering,Barbara Ann,Beach Boys
Stuttering,Sussudio,Phil Collins
Stuttering,James Earl Jones Has a Very Deep Voice,Papa Razzi and the Photogs
Stuttering,I Want Your Sex,George Michael
