MTT Retirement Party,Never Gonna Give You Up,Rick Astley
Reassurance,Never Gonna Give You Up,Rick Astley
Holes,Black Hole Sun,Soundgarden
Midlife crisis,Once In A Life Time,Talking Heads
Countdowns,Space Oddity,David Bowie
Backing Strings,Bitter Sweet Symphony,The Verve
Grunge,Black Hole Sun,Soundgarden
Artist Mentions,Buddy Holly,Weezer
AHHH,Immigrant Song,Led Zeppelin
Fictional Places,Suffragette City,David Bowie
Uncool,Loser,Beck
Newspapers,A Day In The Life,The Beatles
Forgetting,Who Are You,The Who
Joe,Cotton Eye Joe,Rednex
Elections,The End,The Doors
Bullying,Jeremy,Pearl Jam
Chuck Berry,Johnny B Good,Marty McFly
YouTube Hits,Never Gonna Give You Up,Rick Astley
Current Events,Should I Stay Or Should I Go,The Clash
Light,There is A Light That Never Goes Out,The Smiths
Need,All You Need Is Love,The Beatles
Freaks,I Fink U Freeky,Die Antwood
Grocery,Lost in the Supermarket,The Clash
Unintelligible,Louie Louie,The Kingsmen
Country,Jolene,Dolly Parton
LGBT,Sweet Transvestite,The Rocky Horror Picture Show
Stuttering,Psycho Killer,Talking Heads
Solitude,I am a Rock,Simon and Garfunkel
Sub choice,I Believe In A Thing Called Love,The Darkness
Crossover Covers,Hurt,Johnny Cash
slang,Valley Girl,Moon Zappa
DANGER,Danger Zone,Kenny Loggins
insanity,Psycho Killer,Talking Heads
Yacht Rock,Africa,Toto
touching,I Touch Myself,Divinyls
Middle,The Middle,Jimmy Eat World
Hide,Rawhide,Blues Brothers
Darwin,We Threw Gasoline On The Fire And Now Have Stumps For Arms And No Eyebrows,NOFX
Telephone,Telephone Line,Electric Light Orchestra
Hats,Safety Dance,Men Without Hats
Lesser Known Original,Tainted Love,Gloria Jones
Butts,Fat Bottomed Girls,Queen
Heart,Owner of a Lonely Heart,Yes
World,Wild World,Cat Stevens
Nervous,Psycho Killer,Talking Heads
Glass,Heart Of Glass,Blondie
Silence,The Sound Of Silence,Simon And Garfunkel
Blood,Werewolves of London,Warren Zevon
Iconic Intros,The Final Countdown,Europe
Groundhog Day,THE BEST THE BEST THE BEST THE BEST THE BEST THE BEST THE BEST THE BEST,Foo Fighters
MTT Retirement Party,Sandstorm,Darude
Heroes,Heroes,David Bowie
Wind,Waving My Dick In The Wind,Ween
instrumental xmas,Linus And Lucy,Vince Guaraldi Trio
Norse,Immigrant Song,Led Zeppelin
Australia,Down Under,Men At Work
Lesser Known Original,Black Betty,Leadbelly
Scary,One,Metallica
Weapons,Bang Bang,Nancy Sinatra
Locations,Africa,Toto
Disco,Golden Years,David Bowie
Standalone,Love Will Tear Us Apart,Joy Division
Baseball,Go Cubs Go,Steve Goodman
Ages,It Was A Very Good Beer,Homer Simpson
MTT Retirement Party,Smells Like Teen Spirit,Nirvana
smells,Smells Like Teen Spirit,Nirvana
Inappropriate,White Wedding,Billy Idol
Gossip,I Heard it Through the Grapevine,Marvin Gaye
Decay,Maggot Brain,Funkadelic
Hiding,Hide and Seek,Imogen Heap
Smoke,Smoke Two Joints,Sublime
Suits,Sharp Dressed Man,ZZ Top
Grey,Touch Of Grey,The Grateful Dead
Falsetto,Kiss,Prince
Bathrooms,Splish Splash,Bobby Darin
Hot,White Light White Heat,The Velvet Underground
Surnames,Clint Eastwood,Gorillaz
Toys,Barbie Girl,Aqua
Vacation,Holiday in Cambodia,Dead Kennedys
Friendship,Just a Friend,Biz Markie
Eyes,Eye Of The Tiger,Survivor
Good Advice,Always Look on the Bright Side of Life,Monty Python
Middle,Our House,Madness
Space,Intergalactic,Beastie Boys
Xmas,Christmas Wrapping,The Waitresses
Under,Down Under,Men At Work
