Stuttering,Psycho Killer,Talking Heads
Good Advice,Always Look on the Bright Side of Life,Monty Python
Storms,When The Levee Breaks,Led Zeppelin
Fake News,Pure Imagination,Willy Wonka
Leaving Home,Rocket Man,William Shatner
Angst,Losing My Religion,REM
Song Of My People,Loser,Beck
Stuttering,My Generation,The Who
Floods,When The Levee Breaks,Led Zeppelin
The Sun,Here Comes The Sun,The Beatles
Soft Drinks,Institutionalized,Suicidal Tendencies
Leaving Home,The Ballad Of Bilbo Baggins,Leonard Nimoy
Song Of My People,Down Under,Men At Work
Labor,Working In a Coal Mine,Devo
Awesome names,Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict,Pink Floyd
Change,I Can Change,LCD Soundsystem
The Sun,Good Day Sunshine,Paul McCartney
The Sun,Sun King,The Beatles
FLAIR,IT MAKES NO GODDAMN SENSE,WHAT IS THIS THEME
Back To School,My Old School,Steely Dan
Angst,Surrender,Cheap Trick
Soft Drinks,Mellow Yellow,Donovan
Storms,Riders On The Storm,The Doors
The Sun,Waiting For The Sun,The Doors
Angst,Once In a Lifetime,Talking Heads
Not on the Soundtrack,Sweet Emotion,Aerosmith
Stuttering,Cherry Bomb,The Runaways
Stuttering,Poker Face,Lady Gaga
Shuffle,Too Drunk to Fuck,Dead Kennedys
Change,Changes,Black Sabbath
The Sun,Blister In The Sun,Violent Femmes
The Sun,Who Loves The Sun,The Velvet Underground
Angst,The End,The Doors
Sequels,Phantom Pt II,Justice
Soft Drinks,Yoda,Weird Al
Leaving Home,Wild World,Cat Stevens
Halloween Season,Thriller,Michael Jackson
Floods,Lost In The Flood,Bruce Springsteen
Labor,Union Burying Ground,Woody Guthrie
Change,Wind of Change,Scorpions
The Sun,Sunny Afternoon,The Kinks
The Sun,Holidays In The Sun,Sex Pistols
Fake News,Dirty Laundry,Don Henley
Angst,Teenagers,My Chemical Romance
Angst,Where Is My Mind,Pixies
Halloween Season,Fell in a Well,Songwriter X and the Skeleton Band
Stuttering,Kiss Off,Violent Femmes
Floods,Here Comes The Rain Again,Eurythmics
Shuffle,Heart Shaped Box,Nirvana
Shuffle,Miserlou,Manolis Angelopoulos
Labor,Never Cross A Picket Line,Billy Bragg
Change,Change,Tears for Fears
Change,Damaged Goods,Gang of Four
The Sun,Island In The Sun,Weezer
threats,Another One Bites the Dust,Queen
Not on the Soundtrack,Where Is My Mind,Pixies
Song Of My People,Only Wanna Be With You,Hootie And The Blowfish
Soft Drinks,Having A Party,Sam Cooke
Soft Drinks,Lola,The Kinks
Leaving Home,Hit the Road Jack,Ray Charles
Leaving Home,Smalltown Boy,Bronski Beat
Leaving Home,By The Time I Get To Phoenix,Glen Campbell
Leaving Home,Goodbye Yellow Brick Road,Elton John
Halloween Season,Toccata and Fugue in D Minor,Johann Sebastian Bach
Halloween Season,This Is Halloween demo,Danny Elfman
Halloween Season,I Want Candy,Bow Wow Wow
Floods,They Might Be Giants,Theme from Flood
Storms,Gimme Shelter,The Rolling Stones
Change,Perpetual Change,Yes
Change,Cool Change,Little River Band
Good Advice,This Too Shall Pass,OK Go
The Sun,House of the Rising Sun,The Animals
Back To School,Teacher,Jethro Tull
Angst,Teen Angst,Cracker
threats,Pomplamoose,Bust Your Knee Caps
Sequels,Glass Onion,The Beatles
Even,Even Numbers,They Might Be Giants
Odd,Odds Of Even,Marilyn Manson
Song Of My People,Christmastime for the Jews,Darlene Love
Song Of My People,In The Garage,Weezer
Soft Drinks,Koka Kola,The Clash
Soft Drinks,Things Go Better With Coke,Otis Redding
Soft Drinks,I Want You,Savage Garden
Invisible,To Be Invisible,Curtis Mayfield
September,April Come She Will,Simon and Garfunkel
Shuffle,Electricity,Orchestral Manoeuvres In The Dark
Shuffle,The Cold Song,Klaus Nomi
Labor,Clampdown,The Clash
Labor,Working For The Weekend,Loverboy
Awesome names,I Wanna See Your Tattoo,Jon Cougar Concentration Camp
Change,Times Change,New Order
Changeless,Fortress,Pinback
Changeless,We Never Change,Coldplay
Good Advice,God Hates a Coward,Tomahawk
The Sun,Dont let the sun go down on me,Elton John
The Sun,Dear Prudence,The Beatles
The Sun,My God Is The Sun,Queens of the Stone Age
The Sun,Soak Up The Sun,Sheryl Crow
Fake News,Radio Clash,The Clash
Angst,Are You Gonna Be My Girl,Jet
Ninja Tune,How You Like Me Now,The Heavy
threats,We Will Rock You,Queen
threats,Neighborhood Threat,David Bowie
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,People Are People,Depeche Mode
Song Of My People,This Is Halloween,Danny Elfman
Song Of My People,Sweet Home Alabama,Lynyrd Skynyrd
Leaving Home,Love Is a Battlefield,Pat Benatar
Leaving Home,Goodbye Stranger,Supertramp
Leaving Home,Jet Airliner,Steve Miller Band
Stuttering,Bad To The Bone,George Thorogood And The Destroyers
Floods,Fox Confessor Brings the Flood,Neko Case
Floods,When The Levee Breaks,A Perfect Circle
September,September When It Comes,Johnny Cash and Rosanne Cash
Labor,There Is Power In A Union,Billy Bragg
Awesome names,Sex on Wheelz,My Life With The Thrill Kill Kult
Change,Changing of the Seasons,Two Door Cinema Club
Changeless,Same Ole Me,George Jones
The Sun,Sol Invictus,Faith No More
The Sun,People of The Sun,Rage Against The Machine
The Sun,Watch the Sunrise,Big Star
The Sun,When The Sun Goes Down,Arctic Monkeys
The Sun,Set The Controls For The Heart Of The Sun,Pink Floyd
The Sun,Sun,Caribou
Fake News,Liar,Henry Rollins
Hits Away From Home,La vie en rose,Grace Jones
Back To School,Back to School Days,Graham Parker
Back To School,The Headmaster Ritual,The Smiths
Back To School,What A Wonderful World,Sam Cooke
Angst,Gotta Gettaway,Stiff Little Fingers
Angst,Mother,Pink Floyd
Angst,Killing an arab,The Cure
threats,State Trooper,Bruce Springsteen
threats,Mama Said Knock You Out,LL Cool J
Sequels,Miss Atomic Bomb,The Killers
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Odd,Just One Fix,Ministry
Odd,The Odd Couple,Billy May and His Orchestra
Song Of My People,Detroit Rock City,KISS
Song Of My People,Hooked on a Feeling,Blue Swede
Soft Drinks,Oh Oh I Love Her So,RAMONES
Soft Drinks,Here Comes Alice,The Jesus and Mary Chain
Leaving Home,Born to Run,Bruce Springsteen
Leaving Home,Saying Goodbye,The Muppets
Leaving Home,Ramble On,Led Zeppelin
Leaving Home,Honky Cat,Elton John
Invisible,See Through,Low
Halloween Season,Halloween All Year,The Orwells
Halloween Season,Halloween,Siouxsie The Banshees
Halloween Season,Werewolf Bar Mitzvah,Tracy Jordan
Stuttering,Scatman,Scatman John
Floods,Atlantis,Donovan
Floods,Floods,Pantera
September,Wake Me Up When September Ends,Green Day
Shuffle,Police Truck,Dead Kennedys
Shuffle,Blue Moon,Beck
Storms,Song of Storms,Koji Kondo
Storms,Like A Hurricane,Neil Young
Labor,Union Man,Neil Young
Labor,Working Class Hero,John Lennon
Change,The Changeling,The Doors
Changeless,Such A Little Thing Makes Such A Big Difference,Morrissey
Change,Victim Of Changes,Judas Priest
Changeless,Nothing Changes,Death in June
Change,Something for Nothing,Rush
Good Advice,The Gambler,Kenny Rogers
The Sun,Staring at the Sun,TV on the Radio
The Sun,The Sun,The Naked And Famous
The Sun,Sunlight Shining Through Cloud,Mike Oldfield
The Sun,I Live For The Sun,The Sunrays
Fake News,Sunday Papers,Joe Jackson
Hits Away From Home,Bobby Brown Goes Down,Frank Zappa
