Holes,Black Hole Sun,Soundgarden
Countdowns,Space Oddity,David Bowie
Backing Strings,Bitter Sweet Symphony,The Verve
Grunge,Black Hole Sun,Soundgarden
Elections,The End,The Doors
YouTube Hits,Never Gonna Give You Up,Rick Astley
Grocery,Lost in the Supermarket,The Clash
Stuttering,Psycho Killer,Talking Heads
Solitude,I am a Rock,Simon and Garfunkel
Sub choice,I Believe In A Thing Called Love,The Darkness
Yacht Rock,Africa,Toto
touching,I Touch Myself,Divinyls
Middle,The Middle,Jimmy Eat World
Hide,Rawhide,Blues Brothers
Darwin,We Threw Gasoline On The Fire And Now Have Stumps For Arms And No Eyebrows,NOFX
World,Wild World,Cat Stevens
Nervous,Psycho Killer,Talking Heads
Locations,Africa,Toto
Disco,Golden Years,David Bowie
Standalone,Love Will Tear Us Apart,Joy Division
Baseball,Go Cubs Go,Steve Goodman
Decay,Maggot Brain,Funkadelic
Hiding,Hide and Seek,Imogen Heap
Good Advice,Always Look on the Bright Side of Life,Monty Python
Middle,Our House,Madness
Space,Intergalactic,Beastie Boys
Xmas,Christmas Wrapping,The Waitresses
Under,Down Under,Men At Work
ADA,Loud Pipes,Ratatat
Baseball,Centerfield,John Fogerty
Running,I Ran,A Flock Of Seagulls
Storms,When The Levee Breaks,Led Zeppelin
Up to eleven,Suffragette city,David Bowie
Naked,Always Something There To Remind Me,Naked Eyes
Cemeteries,Eleanor Rigby,The Beatles
Disc Jockey,Video killed the radio star,The Buggles
Medicine,Lithium,Nirvana
Birds,Surfin Bird,The Trashmen
Bilingual,Games Without Frontiers,Peter Gabriel
Antonym,Stomach of Steel,Brunette
Stage to screen,Springtime For Hitler,The Producers
World,The Man Who Sold The World,David Bowie
Grunge,Even Flow,Pearl Jam
Fake News,Pure Imagination,Willy Wonka
Uncles,Uncle Fucker,Terrance and Phillip
Comfort,Comfortably Numb,Pink Floyd
Early MTV,Cars,Gary Numan
Stitches,House of The Rising Sun,The Animals
Human Rights,Biko,Peter Gabriel
Strange,Strange Fruit,Billie Holiday
Country life,In A Big Country,Big Country
Mouth,All Star,Smash Mouth
Black Again,Blackstar,David Bowie
Electronic,The Robots,Kraftwerk
Disco,Heart of Glass,Blondie
Stoner Sludge Metal,My God Is The Sun,Queens of the Stone Age
Songs That Teach,Monty Python,Galaxy Song
Beauty In Bleak,Transmission,Joy Division
Death,Blackstar,David Bowie
Rhymes,Train in Vain,The Clash
Running,Born To Run,Bruce Springsteen
Waiting,The Waiting,Tom Petty And The Heartbreakers
Game,Hide And Seek,Imogen Heap
Colours,Goodbye Yellow Brick Road,Elton John
Queens,You Can Call Me Al,Paul Simon
Spicy,Pepper,Butthole Surfers
Drum Breaks,When The Levee Breaks,Led Zeppelin
Before They Were Sampled,Thank You,Dido
Overworked,Working Man,Rush
Trump playlist,American Idiot,Green Day
body movements,Running Up That Hill,Kate Bush
The Afterlife,Heaven,Talking Heads
Leaving Home,Rocket Man,William Shatner
Spicy,Californication,Red Hot Chili Peppers
Legal Woes,Super Freak,Rick James
Misogyny,Bitches Aint Shit,Ben Folds
Itch,Theme Song,Itchy and Scratchy Show
Worm,Nobody Likes Us,The Kids in the Hall
Shy,Overkill,Men At Work
Adoption,This Night Has Opened My Eyes,The Smiths
Meta,Daft Punk Is Playing At My House,LCD Soundsystem
Meta,I Am The Walrus,The Beatles
Invasions,First We Take Manhattan,Leonard Cohen
Confessions,Sympathy For The Devil,The Rolling Stones
Beauty In Bleak,Always Look On The Bright Side Of Life,Monty Python
Reminiscing,Crocodile Rock,Elton John
Shocks and surprises,Lola,The Kinks
Human Rights,Know Your Rights,The Clash
Rejection,Lonely Boy,The Black Keys
Rivalry,The Devil Went Down To Georgia,Primus
Hate,She Hates Me,Puddle Of Mudd
Baseball,Glory Days,Bruce Springsteen
Running,Police On My Back,The Clash
World,The World Has Turned And Left Me Here,Weezer
Broadway,One Night In Bangkok,Murray Head
Nervous,Mad World,Tears for Fears
Waiting,Tired of Waiting,The Kinks
